Location,TARP Connection,Owner,NPDES Permit #,Outfall #,Size,Waterway,Monitored or Unmonitored,PIPE_DESC,PIPE_INACT,PIPE_INA_1,COUNTY_NAM,NAME_1,LAT_DEC,LON_CONV
Laflin Ave (N),CDS-10,Chicago/ Calumet Park,ILM580016/IL0045012,001 / 218,17' x 13.6',CSC,M,LAFLIN AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.655833,-87.658056
Stewart Ave (also known as Normal Ave or Harvard) (N),CDS-12,Chicago,Not Permitted,241,2 (12'x12'),LCalR,M,,,,,,,
130th St (E),CDS-14,Chicago,IL0045012,211,5.5',LCalR,M,130TH STREET EAST,A,,COOK,CHICAGO CSOS,41.659167,-87.618889
Indiana Ave (East of Wabash) (ACME Steel) (W),CDS-15-4,Chicago,ILM580007,5,2 (2.5'),LCalR,U,,,,,,,
Indiana Ave (E),CDS-15-5,Chicago,IL0045012,210,2',LCalR,M,,,,,,,
Vernon Ave & E. 134th St (N),CDS-16,Chicago,IL0045012,239,6',LCalR,M,,,,,,,
Torrence Ave (134th & Brainard) (N),CDS-20,Chicago,IL0045012,206,10' x 6',LCalR,M,TORRENCE AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.669722,-87.559722
Peoria Ave (N),CI-6,Chicago,IL0045012,216,2.5',LCalR,U,PEORIA AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.657778,-87.641389
Halsted St (N),CI-7,Chicago,IL0045012,215,4.5',LCalR,U,HALSTED STREET NORTH,A,,COOK,CHICAGO CSOS,41.898611,-87.648333
Parnell Ave (N),CI-8,Chicago,IL0045012,214,4',LCalR,U,PARNELL AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.6575,-87.635556
Forest Ave (N),CI-9,Chicago,IL0045012,209,1.5',LCalR,U,FOREST AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.650556,-87.608333
Wilson Ave ext. (Wilson & East River Rd) (E),DS-D10,Chicago,IL0045012,226,6',DPR,M,WILSON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.962778,-87.853333
Belmont Ave (E),DS-D11,Chicago,IL0045012,227,12' x 6.58',DPR,M,BELMONT AVENUE EAST,A,,COOK,CHICAGO CSOS,41.937222,-87.849167
Lawrence Ave (W),DS-LAT,Chicago,IL0045012,42,15.5' x 19.5' Tunnel,NBCR,M,LAWRENCE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.968333,-87.701667
Natchez Ave ext. (S),DS-M08,Chicago,IL0045012,188,12' x 9.5',CSSC,M,NATCHEZ AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.804722,-87.788611
Sheridan Rd (Wilmette P.S.) (W),DS-M114N,Chicago,IL0028088,101,8' x 7',NSC,M,,,,,,,
Leamington Ave (S),DS-M12,Chicago,IL0045012,187,21.5' x 19.33',CSSC,M,LEAMINGTON AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.816111,-87.751944
Kenton Ave (Kostner Ave Ext.) (N),DS-M15,Chicago,IL0045012,185,18' x 14.42',CSSC,M,KENTON AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.981944,-87.743333
Kedzie Ave (S),DS-M17,Chicago,IL0045012,180,9',CSSC,M,KEDZIE AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.830833,-87.705
Kedzie Ave (N),DS-M18,Chicago,IL0045012,179,2.25',CSSC,U,KEDZIE AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.831944,-87.705
California Ave (S),DS-M19,Chicago,IL0045012,176,15' x 15',CSSC,M,CALIFORNIA AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.833611,-87.695278
Rockwell St (N),DS-M20,Chicago,IL0045012,174,10.67',CSSC,M,ROCKWELL STREET NORTH,A,,COOK,CHICAGO CSOS,41.836667,-87.690278
Western Ave (S),DS-M21,Chicago,IL0045012,173,12' x 14',CSSC,M,WESTERN AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.837222,-87.685
Damen Ave (N),DS-M23,Chicago,IL0045012,170,3',SBCR,U,DAMEN AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.841944,-87.675833
Wood St (N),DS-M23,Chicago,IL0045012,169,0.67',SBCR,U,WOOD STREET NORTH,A,,COOK,CHICAGO CSOS,41.844167,-87.670833
